show_id,tmdb_id,tmdb_title,tmdb_original_title,tmdb_media_type,tmdb_release_date,imdb_rating,imdb_votes,tmdb_popularity,tmdb_original_language,tmdb_adult
s5869,378137,Hannibal Buress: Comedy Camisado,Hannibal Buress: Comedy Camisado,movie,2016-02-05,6.176,88,0.8588,en,FALSE
s5872,65434,Chelsea Does,Chelsea Does,tv,2016-01-23,5.304,23,0.2593,en,FALSE
s5873,381685,Ricardo O'Farrill: Abrazo Genial,Ricardo O'Farrill: Abrazo Genial,movie,2016-12-12,4.143,7,0.0599,es,FALSE
s5876,376482,Tom Segura: Mostly Stories,Tom Segura: Mostly Stories,movie,2016-01-08,6.954,87,0.1221,en,FALSE
s5975,69562,Lovey Dovey,แผนร้ายนายเจ้าเล่ห์,tv,2016-07-24,10,21,1.2311,th,FALSE
s6000,342737,20th Century Women,20th Century Women,movie,2016-12-28,7.3,1202,1.2978,en,FALSE
s6003,415671,2307: Winter's Dream,2307: Winter's Dream,movie,2018-08-09,3.868,38,1.6423,en,FALSE
s6010,404773,3 Heroines,3 Srikandi,movie,2016-08-04,6.2,4,3.4362,id,FALSE
s6012,445837,30 Days of Luxury,30 يوم في العز,movie,2016-07-05,7,1,0.7015,ar,FALSE
s6027,77440,9 Months That Made You,9 Months That Made You,tv,2016-06-29,7,1,0.146,en,FALSE
s6029,413773,A Billion Colour Story,A Billion Colour Story,movie,2017-01-12,7.2,10,0.1651,en,FALSE
s6030,418272,A Boy Called Po,A Boy Called Po,movie,2016-04-23,6.9,43,1.686,en,FALSE
s6035,375183,A Family Man,A Family Man,movie,2016-09-13,6.7,519,2.8253,en,FALSE
s6036,396643,A Flying Jatt,ए फ़्लाइंग जट्ट,movie,2016-08-25,3.085,41,1.7937,hi,FALSE
s6043,305943,A Kind of Murder,A Kind of Murder,movie,2016-12-16,5.4,251,1.6647,en,FALSE
s6056,403848,A Scandall,A Scandall,movie,2016-06-24,3,6,0.0538,hi,FALSE
